date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:13	4898/4898	---MCZ	200	added ('OK')	text/css	etag:W/%225bd6ac79-1322%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/lightbox/static/fancybox/jquery.fancybox-1.3.4.min.css?ver=3.0.16	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/lightbox/static/fancybox/jquery.fancybox-1.3.4.min952b.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:14	26693/26693	---MCZ	200	added ('OK')	text/css	etag:W/%2225b2445e0c1838b110583405b3ec0177%22	https://use.fontawesome.com/releases/v5.3.1/css/v4-shims.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/use.fontawesome.com/releases/v5.3.1/css/v4-shims5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:15	48649/48649	---MCZ	200	added ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/use.fontawesome.com/releases/v5.3.1/css/all5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:16	1102/1102	---MCZ	200	added ('OK')	text/css	etag:W/%225bd6ac79-44e%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_pagination/static/style.min.css?ver=3.0.16	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_pagination/static/style.min952b.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:16	10016/10016	---MCZ	200	added ('OK')	image/png	etag:W/%2257c57c2a-2720%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/welcomehalllogo23.png	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/welcomehalllogo23.png	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:17	53789/53789	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:17%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/about-us/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/about-us/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:17	53040/53040	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:17%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/sample-page/anniversary-plan/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/sample-page/anniversary-plan/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:19	304449/304449	---M--	200	added ('OK')	image/jpeg	etag:%2257bd3c3f-4a541%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider1.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider1.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:19	55776/55776	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:18%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/blog/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/blog/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:19	53182/53182	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:18%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/sample-page/bday-bash/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/sample-page/bday-bash/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:19	52547/52547	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:18%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/sample-page/wedding-planer/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/sample-page/wedding-planer/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:24	547812/547812	---M--	200	added ('OK')	image/jpeg	etag:%2257bd3c4a-85be4%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider2.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider2.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:24	45164/45164	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:21%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/gallery/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/gallery/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:24	52124/52124	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:21%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/contact-us/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/contact-us/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:24	62207/62207	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:21%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/2016/08/24/how-to-make-sure-she-says-yes/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/2016/08/24/how-to-make-sure-she-says-yes/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:25	60646/60646	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2017:05:25%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/2016/08/24/how-to-kick-start-your-wedding-planning/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/2016/08/24/how-to-kick-start-your-wedding-planning/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:26	198664/198664	---M--	200	added ('OK')	image/jpeg	etag:%2257bd3c50-30808%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider3.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider3.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:28	335001/335001	---M--	200	added ('OK')	image/jpeg	etag:%2257bd3c65-51c99%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider5.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider5.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:29	473648/473648	---M--	200	added ('OK')	image/jpeg	etag:%2257bd3c5f-73a30%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider4.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider4.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:30	40712/40712	---M--	200	added ('OK')	image/jpeg	etag:%2257bd452f-9f08%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Smal-bg1.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Smal-bg1.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:30	30084/30084	---M--	200	added ('OK')	image/jpeg	etag:%2257bd4534-7584%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Small1.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Small1.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:30	316457/316457	---M--	200	added ('OK')	image/jpeg	etag:%2257bd3c6d-4d429%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider40.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Slider40.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:31	46653/46653	---M--	200	added ('OK')	image/jpeg	etag:%2257bd453c-b63d%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Smal-bg2.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Smal-bg2.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:31	30933/30933	---M--	200	added ('OK')	image/jpeg	etag:%2257bd4541-78d5%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Small2.jpg	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/Small2.jpg	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
